Section,Config,Wall (W),CPU/RAPL (W),GPU/nvidia-smi (W),GPU0 (W),GPU1 (W),RAPL DRAM (W),Memory (W),Others (W),Others %,비고
,,,,,,,,,,
===== 1. Per-Config Idle 측정값 =====,,,,,,,,,,
1,+ GPU hidden (2nd card),6.67,21.63,23.6%,물리분리,교차검증 편차 0.74W,,,,
2,+ GPU hidden (1st card),~5.5,~16.1,~43%,추정,0-GPU config 없어 직접 측정 불가,,,,
3,+ Memory (2 DIMM),0.95,~15.2,~46%,물리분리,교차검증 확인,,,,
4,+ PSU 변환손실,~11.0,~4.2,~85%,효율곡선 추정,가장 큰 단일 항목,,,,
5,+ Storage (idle),~0.03,~4.15,~85%,fio v3 실측,idle 기여 미미; active는 rate 기반 분배,,,,
,최종 잔여,,~4.15,~85%,,Chipset+Fan+기타 = ~9.3%,,,,
,,,,,,,,,,
--- 9d. 핵심 결론 ---,,,,,,,,,,
#,항목,내용,수치,비고,,,,,,
1,Others 분해 성과,28.30W(63.6%) → 4.15W(9.3%),분해율 85%,순수 실측만: ~46%,,,,,,
2,가산성 검증,"Closure test ≈ 0, Superposition 오차 0.5%",0.18W / 0.5%,컴포넌트가 가산적임을 물리 실험으로 증명,,,,,,
3,최대 발견,GPU hidden overhead = nvidia-smi의 1.8배,~6W/card,이전 Others의 ~45%가 GPU hidden이었음,,,,,,
4,RAPL DRAM 한계,"i7-11700KF는 RAPL DRAM=0, 물리분리 필수",0.47W/DIMM,,,,,,,
5,Storage Energy Parameter,fio 3회 실험으로 rate 도출,0.0028 W/(MB/s),AC wall 기준 / DC 0.0022 W/(MB/s),,,,,,
6,남은 과제,동시실행 실험 (CPU/GPU 이용률 기반 에너지 분배),교수님 메일,워크로드 2개 동시 → 각각의 이용률이 가장 시급,,,,,,
